,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_feed_forward,params_hidden_layer_dim,params_input_chunk_length,params_lr,params_num_attention_heads,params_num_lstm_layers,params_optimizer,params_output_chunk_length,system_attrs_grid_id,system_attrs_search_space,state
32,32,0.01219914574176073,2024-08-06 19:03:26.778508,2024-08-06 19:06:39.304896,0 days 00:03:12.526388,256,0.05,1000,ReLU,64,30,0.001,2,4,adam,1,32,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
33,33,0.012349673546850681,2024-08-06 19:06:39.305742,2024-08-06 19:13:33.996066,0 days 00:06:54.690324,256,0.05,1000,ReLU,128,30,0.001,7,5,adam,1,33,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
34,34,0.012138512916862965,2024-08-06 19:13:33.996892,2024-08-06 19:17:45.952393,0 days 00:04:11.955501,256,0.05,1000,ReGLU,32,30,0.001,5,5,adam,1,34,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
35,35,0.012275462970137596,2024-08-06 19:17:45.953193,2024-08-06 19:23:22.623328,0 days 00:05:36.670135,256,0.1,1000,ReGLU,32,30,0.0001,5,3,adam,1,35,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
36,36,0.012119530700147152,2024-08-06 19:23:22.624131,2024-08-06 19:27:09.074316,0 days 00:03:46.450185,256,0.0,1000,ReGLU,64,30,0.0001,3,2,adam,1,36,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
37,37,0.012192931026220322,2024-08-06 19:27:09.075148,2024-08-06 19:29:33.082351,0 days 00:02:24.007203,256,0.0,1000,GELU,128,30,0.001,2,3,adam,1,37,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
38,38,0.01210029236972332,2024-08-06 19:29:33.083161,2024-08-06 19:31:08.930105,0 days 00:01:35.846944,256,0.1,1000,ReLU,64,30,1e-05,7,3,adam,1,38,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
39,39,0.012357363477349281,2024-08-06 19:31:08.930895,2024-08-06 19:36:00.556498,0 days 00:04:51.625603,256,0.0,1000,GLU,128,30,1e-05,2,5,adam,1,39,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
40,40,0.012209302745759487,2024-08-06 19:36:00.557295,2024-08-06 19:40:21.060526,0 days 00:04:20.503231,256,0.0,1000,GatedResidualNetwork,32,30,0.001,3,5,adam,1,40,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
41,41,0.012080143205821514,2024-08-06 19:40:21.061347,2024-08-06 19:46:53.696204,0 days 00:06:32.634857,256,0.0,1000,GELU,128,30,0.001,2,2,adam,1,41,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
42,42,0.012125923298299313,2024-08-06 19:46:53.697033,2024-08-06 19:49:47.490448,0 days 00:02:53.793415,256,0.0,1000,SwiGLU,32,30,0.001,3,2,adam,1,42,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
43,43,0.012123199179768562,2024-08-06 19:49:47.491258,2024-08-06 20:06:29.416119,0 days 00:16:41.924861,256,0.1,1000,GatedResidualNetwork,128,30,1e-05,5,5,adam,1,43,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
44,44,0.012138545513153076,2024-08-06 20:06:29.416949,2024-08-06 20:08:37.208622,0 days 00:02:07.791673,256,0.0,1000,SwiGLU,32,30,0.0001,7,3,adam,1,44,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
45,45,0.012442203238606453,2024-08-06 20:08:37.209421,2024-08-06 20:12:59.147355,0 days 00:04:21.937934,256,0.05,1000,Bilinear,64,30,1e-05,2,4,adam,1,45,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
46,46,0.012153074145317078,2024-08-06 20:12:59.148162,2024-08-06 20:14:14.222434,0 days 00:01:15.074272,256,0.0,1000,SwiGLU,64,30,0.0001,7,3,adam,1,46,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
47,47,0.012507275678217411,2024-08-06 20:14:14.223208,2024-08-06 20:19:24.426337,0 days 00:05:10.203129,256,0.05,1000,Bilinear,64,30,0.0001,5,4,adam,1,47,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
48,48,0.012232932262122631,2024-08-06 20:19:24.427129,2024-08-06 20:23:44.694288,0 days 00:04:20.267159,256,0.1,1000,Bilinear,32,30,0.0001,3,5,adam,1,48,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
49,49,0.012152986600995064,2024-08-06 20:23:44.695107,2024-08-06 20:26:28.107563,0 days 00:02:43.412456,256,0.0,1000,ReLU,64,30,0.0001,7,3,adam,1,49,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
50,50,0.012317010201513767,2024-08-06 20:26:28.108366,2024-08-06 20:31:15.720684,0 days 00:04:47.612318,256,0.0,1000,ReGLU,32,30,1e-05,5,3,adam,1,50,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
51,51,0.012141565792262554,2024-08-06 20:31:15.721492,2024-08-06 20:36:06.275410,0 days 00:04:50.553918,256,0.0,1000,GEGLU,128,30,1e-05,7,5,adam,1,51,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
52,52,0.012144934386014938,2024-08-06 20:36:06.276256,2024-08-06 20:43:45.317308,0 days 00:07:39.041052,256,0.1,1000,GLU,64,30,0.0001,2,4,adam,1,52,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
53,53,0.01229001209139824,2024-08-06 20:43:45.318145,2024-08-06 20:54:25.768919,0 days 00:10:40.450774,256,0.1,1000,ReGLU,128,30,1e-05,5,2,adam,1,53,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
54,54,0.012126294896006584,2024-08-06 20:54:25.769760,2024-08-06 20:59:37.615316,0 days 00:05:11.845556,256,0.05,1000,GatedResidualNetwork,128,30,0.001,2,5,adam,1,54,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
55,55,0.01210676971822977,2024-08-06 20:59:37.616132,2024-08-06 21:02:30.994366,0 days 00:02:53.378234,256,0.1,1000,SwiGLU,128,30,0.001,7,2,adam,1,55,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
56,56,0.012154233641922474,2024-08-06 21:02:30.995170,2024-08-06 21:14:21.509662,0 days 00:11:50.514492,256,0.05,1000,Bilinear,32,30,0.0001,5,4,adam,1,56,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
57,57,0.01211489550769329,2024-08-06 21:14:21.510480,2024-08-06 21:18:22.086729,0 days 00:04:00.576249,256,0.1,1000,GatedResidualNetwork,64,30,0.001,3,4,adam,1,57,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
58,58,0.012147684581577778,2024-08-06 21:18:22.087563,2024-08-06 21:22:24.441499,0 days 00:04:02.353936,256,0.0,1000,Bilinear,128,30,0.0001,3,2,adam,1,58,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
59,59,0.01221175491809845,2024-08-06 21:22:24.442330,2024-08-06 21:28:00.061144,0 days 00:05:35.618814,256,0.0,1000,ReLU,128,30,1e-05,3,5,adam,1,59,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
60,60,0.012270412407815456,2024-08-06 21:28:00.061993,2024-08-06 21:34:14.939034,0 days 00:06:14.877041,256,0.1,1000,SwiGLU,32,30,1e-05,2,3,adam,1,60,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
61,61,0.012159942649304867,2024-08-06 21:34:14.939858,2024-08-06 21:36:57.033986,0 days 00:02:42.094128,256,0.1,1000,ReGLU,64,30,1e-05,5,2,adam,1,61,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
62,62,0.012080148793756962,2024-08-06 21:36:57.034816,2024-08-06 21:43:30.127584,0 days 00:06:33.092768,256,0.0,1000,GELU,128,30,1e-05,2,2,adam,1,62,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
63,63,0.01217519212514162,2024-08-06 21:43:30.128430,2024-08-06 21:50:39.015074,0 days 00:07:08.886644,256,0.1,1000,SwiGLU,64,30,0.001,2,5,adam,1,63,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
64,64,0.012106142938137054,2024-08-06 21:50:39.015865,2024-08-06 21:55:27.917413,0 days 00:04:48.901548,256,0.0,1000,ReLU,128,30,0.001,3,2,adam,1,64,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
