Experiment,Crypto,Target,Training Time (s),CPU Usage (%),Memory Usage (MB),Parameters,MSE,MAE,MAPE,RMSE,R2
arima-btc-close-w30-h0-12m,btc,close,11.376344442367554,2499.0,186.0234375,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0008719449185282637,0.023557311773785203,0.04330143648365721,0.029528713458738153,0.3961918758310867
arima-btc-close-w30-h0-12m,btc,close,5.408929824829102,2497.4,133.7421875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00031243926006210355,0.01355151423786467,0.025467197223159977,0.01767595146129632,0.875821880964111
arima-btc-close-w30-h0-12m,btc,close,2.558107852935791,2493.7,131.76953125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.000586294085988501,0.019610147537724568,0.02781180005182363,0.02421351040201526,0.783323879739391
arima-btc-close-w30-h0-12m,btc,close,4.868006467819214,2497.8,134.3671875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0008809117426835496,0.02235978939721258,0.0317800851514854,0.029680157389804212,0.6487349869759051
arima-btc-close-w30-h0-12m,btc,close,3.3192925453186035,2495.8,136.40625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0010993253288793634,0.025790285842132176,0.028512055841089175,0.03315607529366773,0.8309088007321601
arima-btc-close-w30-h0-12m,btc,close,8.964846849441528,2499.2,139.4609375,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0010061542735767042,0.02457462866976089,0.02618876675864222,0.03171993495542991,0.7035790895840008
arima-btc-close-w30-h0-12m,btc,close,5.680148124694824,2498.2,141.98828125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0007607703889101846,0.019325410035492846,0.02543396919115678,0.027582066436548668,0.592935624126437
arima-btc-close-w30-h0-12m,btc,close,11.202622652053833,2498.8,144.75,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00033670895406207426,0.012650695702407719,0.0202862610802359,0.01834963089716178,0.8902229284938421
arima-btc-close-w30-h0-12m,btc,close,7.458090543746948,2498.5,147.578125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0007953594090151976,0.019367368487836822,0.030723683422371823,0.028202117101650322,0.5156305414240936
arima-btc-close-w30-h0-12m,btc,close,4.956096172332764,2496.8,149.48046875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00047766870486956744,0.016509885819559998,0.025702592444073913,0.021855633252540807,0.7830179376340775
arima-btc-close-w30-h0-12m,btc,close,5.24582314491272,2497.3,153.2265625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00030058636772817163,0.014260817318589757,0.02256836517314668,0.017337426790852546,0.8172308307683995
arima-btc-close-w30-h0-12m,btc,close,5.998601198196411,2497.6,154.921875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0004978003117709203,0.01681282476531201,0.0348487703985422,0.022311439034067713,0.8334778944484278
arima-eth-close-w30-h0-12m,eth,close,10.075069427490234,2469.2,114.32421875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0009070873484730379,0.024748294300861184,0.046245061917112876,0.030117890837059586,0.8279328965975903
arima-eth-close-w30-h0-12m,eth,close,9.91489291191101,2498.5,91.56640625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0004801571617624455,0.017036829580506594,0.034219997141336826,0.0219124887167671,0.7653687467164308
arima-eth-close-w30-h0-12m,eth,close,8.13102650642395,2498.0,43.80859375,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0009702401385126956,0.02488210874531495,0.03372402933034647,0.031148677957703045,0.6939379471798106
arima-eth-close-w30-h0-12m,eth,close,8.737064838409424,2498.8,108.5625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0020220936497877453,0.034877849660322875,0.04498265605343545,0.044967695624611954,0.7349756639731118
arima-eth-close-w30-h0-12m,eth,close,11.43502926826477,2499.2,44.45703125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0012453853122468834,0.02801474962248981,0.03044790146590255,0.035290017175497145,0.8004295176608776
arima-eth-close-w30-h0-12m,eth,close,11.26602816581726,2498.9,38.33203125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0020202955443008575,0.03526512809911002,0.033823856348750854,0.04494769787542914,0.28640690716079
arima-eth-close-w30-h0-12m,eth,close,7.187378406524658,2498.7,31.0,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0013039810797442581,0.02826472178347414,0.02944242487887425,0.03611067819557337,0.5725294562174015
arima-eth-close-w30-h0-12m,eth,close,5.377425909042358,2497.9,103.890625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0010287830340613027,0.024632811864476273,0.03489095469651578,0.03207464784002005,0.9135193941359379
arima-eth-close-w30-h0-12m,eth,close,4.862179517745972,2497.3,32.25390625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0010503842816843999,0.02517186586330265,0.03672318124594248,0.03240963254472966,0.5530252221306937
arima-eth-close-w30-h0-12m,eth,close,3.759418249130249,2497.2,50.94921875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0004636756434598266,0.017804287155060012,0.02654441981070472,0.02153312897513565,0.8981676690339288
arima-eth-close-w30-h0-12m,eth,close,7.072754859924316,2498.2,43.3515625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0005692160682681,0.018840925664430797,0.025861209460955725,0.023858249480380997,0.7767525450134696
arima-eth-close-w30-h0-12m,eth,close,4.703036785125732,2496.9,51.41796875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0008568597497377774,0.02399144104749908,0.04717396192872171,0.02927216680974911,0.8877718236436083
arima-ltc-close-w30-h0-12m,ltc,close,7.9594104290008545,2498.2,6.94921875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0006800844859519653,0.02022413091249093,0.05695777892532048,0.026078429514676784,0.7861056514796569
arima-ltc-close-w30-h0-12m,ltc,close,3.7929933071136475,2497.0,0.0,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00013078832450312235,0.008926842816073375,0.031079428441794465,0.011436272316761364,0.8059373402688009
arima-ltc-close-w30-h0-12m,ltc,close,5.104496479034424,2497.4,0.25,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0003883594135568158,0.015435136288703173,0.03868118585619582,0.019706836721219766,0.7621831559272294
arima-ltc-close-w30-h0-12m,ltc,close,5.015876054763794,2497.5,7.55859375,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0010798500143263657,0.022105191283211704,0.0520952594050679,0.032861071411723106,0.7170059675821483
arima-ltc-close-w30-h0-12m,ltc,close,12.214142799377441,2498.6,15.45703125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0003916931429941847,0.015765652862992176,0.03550389600251136,0.019791239046461562,0.49143823118236196
arima-ltc-close-w30-h0-12m,ltc,close,11.92233920097351,2498.8,230.03125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0015018031347424107,0.028538134782331987,0.05144795872406593,0.0387531048400307,0.6702517486849751
arima-ltc-close-w30-h0-12m,ltc,close,5.401045322418213,2497.9,50.6796875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0004520123570835472,0.014953012116118339,0.04062427126072338,0.021260582237642205,0.7364976867523938
arima-ltc-close-w30-h0-12m,ltc,close,3.809091091156006,2496.4,39.97265625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00023108800696768837,0.011779844106120214,0.04047911968866933,0.015201579094544369,0.8781982646285084
arima-ltc-close-w30-h0-12m,ltc,close,6.084059238433838,2497.7,40.7421875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00025107125750242385,0.013067643284809574,0.050027199000740055,0.015845228225002752,0.7202020260540398
arima-ltc-close-w30-h0-12m,ltc,close,6.607879400253296,2498.9,41.75390625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00011268399432602757,0.008666070912471877,0.0357189441835786,0.010615271749984905,0.8501714916708272
arima-ltc-close-w30-h0-12m,ltc,close,6.112370729446411,2497.4,75.640625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00011640137401763538,0.00883833470217276,0.03766485675254518,0.010788946844694128,0.7677317189496113
arima-ltc-close-w30-h0-12m,ltc,close,4.330280780792236,2496.6,-41.78125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00022958195495572726,0.010762818613115602,0.07736285849073228,0.015151962082704909,0.8352907623458945
arima-xmr-close-w30-h0-12m,xmr,close,8.017079591751099,2498.7,6.81640625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0016098705647921993,0.029776026180241874,0.06356996947537724,0.040123192355446986,0.6409766501198169
arima-xmr-close-w30-h0-12m,xmr,close,3.3968160152435303,2495.9,0.75,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00021965031467875031,0.012048886034107656,0.030518547056773503,0.014820604396540323,0.7863768255895531
arima-xmr-close-w30-h0-12m,xmr,close,7.576338052749634,2498.2,14.32421875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0006476413468997995,0.021653425912970207,0.039802712235114654,0.025448798535486886,0.7660268283410492
arima-xmr-close-w30-h0-12m,xmr,close,5.676752328872681,2497.4,22.0078125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0009667808047630183,0.02009744608746033,0.04071099069392236,0.031093098989374124,0.7197089598811555
arima-xmr-close-w30-h0-12m,xmr,close,5.5176169872283936,2498.0,30.12109375,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.000384763081497949,0.015311550654027175,0.028912030743888043,0.019615378698815605,0.13121610494802105
arima-xmr-close-w30-h0-12m,xmr,close,8.261767148971558,2498.4,30.5078125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0005615895676873146,0.018729009963417663,0.03868820506595964,0.02369788108011589,0.5926218150505927
arima-xmr-close-w30-h0-12m,xmr,close,8.571630239486694,2498.0,31.515625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00037645675946911656,0.014373354541211691,0.03706697873855718,0.019402493640486435,0.6942435839593066
arima-xmr-close-w30-h0-12m,xmr,close,11.324592590332031,2499.2,39.31640625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0005646955937542939,0.020047785322924606,0.056279178490405785,0.023763324551802384,0.8875856426697657
arima-xmr-close-w30-h0-12m,xmr,close,14.837702512741089,2499.3,131.3203125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00028922672233797374,0.01300529139845719,0.043144478117710564,0.017006666996739066,0.6538384834883089
arima-xmr-close-w30-h0-12m,xmr,close,3.932725191116333,2496.8,58.640625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0005713991330260083,0.01614477135070818,0.04602555423368823,0.02390395643039052,0.619205586258779
arima-xmr-close-w30-h0-12m,xmr,close,4.639012813568115,2497.6,33.8203125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0005497124680493828,0.018956304965104653,0.041224697221666946,0.023445947795928037,0.6669177038790783
arima-xmr-close-w30-h0-12m,xmr,close,12.534714460372925,2499.2,45.703125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0009649329321405186,0.025963979912707952,0.07836384074540437,0.031063369619867685,0.6329052079336723
arima-xrp-close-w30-h0-12m,xrp,close,4.087307691574097,2496.8,15.0,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.000455274502003915,0.016421501989176617,0.07011361924713151,0.021337162463737184,0.8274313833355778
arima-xrp-close-w30-h0-12m,xrp,close,2.3669893741607666,2496.9,-21.51953125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0001012300022520358,0.0070626395177848765,0.03743873081594606,0.01006131215359288,0.7595548401168725
arima-xrp-close-w30-h0-12m,xrp,close,2.4156641960144043,2493.4,28.75,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0007926277571787913,0.02171896304607229,0.062047102083543394,0.028153645539766094,0.8601290368958141
arima-xrp-close-w30-h0-12m,xrp,close,1.1320557594299316,2489.4,30.42578125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0006349696856042169,0.017045664043196483,0.0484427640443637,0.02519860483447877,0.7435659345109822
arima-xrp-close-w30-h0-12m,xrp,close,7.6484527587890625,2498.3,37.73046875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00023241892455915802,0.010439735014516584,0.029198912015252595,0.015245291881730504,-0.2163219353115049
arima-xrp-close-w30-h0-12m,xrp,close,3.7134222984313965,2497.5,38.015625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00025744304669591465,0.012635114973765233,0.03448898733219787,0.0160450318384201,0.7888590506666997
arima-xrp-close-w30-h0-12m,xrp,close,8.938668966293335,2498.6,46.70703125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00022315210044831772,0.011986110545875278,0.043825562389968306,0.014938276354664139,0.5773081061769229
arima-xrp-close-w30-h0-12m,xrp,close,6.214988708496094,2498.0,39.66796875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",8.513702839096056e-05,0.0068833599707050375,0.0321631379218363,0.009226972872560132,0.9144373347321827
arima-xrp-close-w30-h0-12m,xrp,close,5.306235074996948,2497.3,25.125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0003346487229219721,0.013976081572213736,0.05849498443439577,0.018293406542302944,0.6067473055447861
arima-xrp-close-w30-h0-12m,xrp,close,8.08324384689331,2498.0,32.95703125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",8.525355978608755e-05,0.007037308981672835,0.028765137115951703,0.00923328542752186,0.7027912098589821
arima-xrp-close-w30-h0-12m,xrp,close,5.931691408157349,2496.8,271.234375,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0001000207811493023,0.0078344686087491,0.03535122795065202,0.010001039003488702,0.8311282603029673
arima-xrp-close-w30-h0-12m,xrp,close,9.38043475151062,2498.1,100.46875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00013657782803372677,0.008211443012665926,0.06715570266610311,0.011686651703277836,0.8676044814990198
